Data,Mwmed_Nordeste,Mwmed_Norte,Mwmed_Sudeste/CO,Mwmed_Sul
10/1/2023,13051.16,7763.91,44093.9,12344.29
11/1/2023,13514.74,7618.25,46313.89,13212.25
12/1/2023,13170.85,7249.95,46195.92,14019.74
1/1/2024,13173.18,7282.62,45239.25,14048.42
2/1/2024,13191.39,7311.07,46597.78,15666.3
3/1/2024,13409.23,7383.89,47170.8,14535.69
4/1/2024,13074.2,7441.54,45701.52,13518.56
5/1/2024,12821.14,7703.42,44316.93,12542.55
6/1/2024,12193.81,7721.25,41439.09,12601.21
7/1/2024,12296.83,7813.43,41012.29,12955
8/1/2024,12832.09,8105.58,42059.6,13015.82
9/1/2024,13109.96,8498.04,45974.78,12846.21
10/1/2024,13749.61,8375.46,45186.27,13452.27
11/1/2024,13833.6,8294.47,44152.97,14324.71
12/1/2024,13769.79,7895.49,44722.32,13162.19
1/1/2025,13413.74,7636.91,46753.53,15296.75
2/1/2025,13739.95,7705.45,51048.59,16712.78
3/1/2025,13790.46,7945.51,48550.61,15662.13
4/1/2025,13829.25,8099.94,44250.03,13190.36
5/1/2025,13322.29,8147.8,41856.36,12914.78
6/1/2025,13131.79,8219.81,42065.74,12988.4
