id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
S;Sul;23/01/2000 00:00:00;5.616,00416667
SE;Sudeste/Centro-Oeste;23/01/2000 00:00:00;21.363,22083333
N;Norte;24/01/2000 00:00:00;2.434,80000000
NE;Nordeste;24/01/2000 00:00:00;5.804,14166667
S;Sul;24/01/2000 00:00:00;7.137,69583333
SE;Sudeste/Centro-Oeste;24/01/2000 00:00:00;25.673,23750000
N;Norte;25/01/2000 00:00:00;2.448,10416667
NE;Nordeste;25/01/2000 00:00:00;5.964,80833333
S;Sul;25/01/2000 00:00:00;7.416,22500000
SE;Sudeste/Centro-Oeste;25/01/2000 00:00:00;25.874,23333333
N;Norte;26/01/2000 00:00:00;2.463,06666667
NE;Nordeste;26/01/2000 00:00:00;5.995,96666667
S;Sul;26/01/2000 00:00:00;7.229,73333333
SE;Sudeste/Centro-Oeste;26/01/2000 00:00:00;26.728,61250000
N;Norte;27/01/2000 00:00:00;2.484,58333333
NE;Nordeste;27/01/2000 00:00:00;6.066,92500000
S;Sul;27/01/2000 00:00:00;7.112,17500000
SE;Sudeste/Centro-Oeste;27/01/2000 00:00:00;25.540,09166667
N;Norte;28/01/2000 00:00:00;2.493,06666667
NE;Nordeste;28/01/2000 00:00:00;6.029,79583333
S;Sul;28/01/2000 00:00:00;7.059,62916667
SE;Sudeste/Centro-Oeste;28/01/2000 00:00:00;25.015,54166667
N;Norte;29/01/2000 00:00:00;2.402,26250000
NE;Nordeste;29/01/2000 00:00:00;5.651,62083333
S;Sul;29/01/2000 00:00:00;6.214,31250000
SE;Sudeste/Centro-Oeste;29/01/2000 00:00:00;22.674,66250000
N;Norte;30/01/2000 00:00:00;2.283,10416667
NE;Nordeste;30/01/2000 00:00:00;5.258,68750000
S;Sul;30/01/2000 00:00:00;5.442,13333333
SE;Sudeste/Centro-Oeste;30/01/2000 00:00:00;20.515,08750000
N;Norte;31/01/2000 00:00:00;2.473,93333333
NE;Nordeste;31/01/2000 00:00:00;5.984,23333333
S;Sul;31/01/2000 00:00:00;6.939,68750000
SE;Sudeste/Centro-Oeste;31/01/2000 00:00:00;25.555,35000000
N;Norte;01/02/2000 00:00:00;2.466,40000000
NE;Nordeste;01/02/2000 00:00:00;6.221,80000000
S;Sul;01/02/2000 00:00:00;7.101,74166667
SE;Sudeste/Centro-Oeste;01/02/2000 00:00:00;26.134,62500000
N;Norte;02/02/2000 00:00:00;2.474,01250000
NE;Nordeste;02/02/2000 00:00:00;6.279,74166667
S;Sul;02/02/2000 00:00:00;7.031,08333333
SE;Sudeste/Centro-Oeste;02/02/2000 00:00:00;26.217,28333333
N;Norte;03/02/2000 00:00:00;2.489,07916667
NE;Nordeste;03/02/2000 00:00:00;6.279,62500000
S;Sul;03/02/2000 00:00:00;7.394,05000000
SE;Sudeste/Centro-Oeste;03/02/2000 00:00:00;26.423,97916667
N;Norte;04/02/2000 00:00:00;2.495,17500000
NE;Nordeste;04/02/2000 00:00:00;6.181,77916667
S;Sul;04/02/2000 00:00:00;7.227,83750000
SE;Sudeste/Centro-Oeste;04/02/2000 00:00:00;26.983,54166667
N;Norte;05/02/2000 00:00:00;2.396,47500000
NE;Nordeste;05/02/2000 00:00:00;5.719,78750000
S;Sul;05/02/2000 00:00:00;6.193,50000000
SE;Sudeste/Centro-Oeste;05/02/2000 00:00:00;24.358,11666667
N;Norte;06/02/2000 00:00:00;2.297,23333333
NE;Nordeste;06/02/2000 00:00:00;5.320,59583333
S;Sul;06/02/2000 00:00:00;5.421,05416667
SE;Sudeste/Centro-Oeste;06/02/2000 00:00:00;21.316,43333333
N;Norte;07/02/2000 00:00:00;2.430,35416667
NE;Nordeste;07/02/2000 00:00:00;5.997,15000000
S;Sul;07/02/2000 00:00:00;7.014,42083333
SE;Sudeste/Centro-Oeste;07/02/2000 00:00:00;25.526,54583333
N;Norte;08/02/2000 00:00:00;2.439,21250000
NE;Nordeste;08/02/2000 00:00:00;6.087,31666667
S;Sul;08/02/2000 00:00:00;7.292,05000000
SE;Sudeste/Centro-Oeste;08/02/2000 00:00:00;26.241,80416667
N;Norte;09/02/2000 00:00:00;2.437,78333333
NE;Nordeste;09/02/2000 00:00:00;6.108,20416667
S;Sul;09/02/2000 00:00:00;7.389,07083333
SE;Sudeste/Centro-Oeste;09/02/2000 00:00:00;26.460,02083333
N;Norte;10/02/2000 00:00:00;2.406,67916667
NE;Nordeste;10/02/2000 00:00:00;6.059,80416667
S;Sul;10/02/2000 00:00:00;7.461,00000000
SE;Sudeste/Centro-Oeste;10/02/2000 00:00:00;26.778,06666667
N;Norte;11/02/2000 00:00:00;2.433,90000000
NE;Nordeste;11/02/2000 00:00:00;5.991,82083333
S;Sul;11/02/2000 00:00:00;7.537,10416667
SE;Sudeste/Centro-Oeste;11/02/2000 00:00:00;26.994,56250000
N;Norte;12/02/2000 00:00:00;2.322,17083333
NE;Nordeste;12/02/2000 00:00:00;5.600,57916667
S;Sul;12/02/2000 00:00:00;6.704,83333333
SE;Sudeste/Centro-Oeste;12/02/2000 00:00:00;24.474,28333333
N;Norte;13/02/2000 00:00:00;2.237,53750000
NE;Nordeste;13/02/2000 00:00:00;5.096,72500000
