Data,Region,Average_Consumption,month,year,Average_Consumption_lag_1,Average_Consumption_lag_12,Average_Consumption_rolling_mean_3
2016-06-01,Sudeste/CO,33271.71,6,2016,33979.38,32475.57,34982.26333333333
2016-06-01,Sul,10614.52,6,2016,9965.47,9769.19,10548.839999999998
2016-06-01,Norte,5170.98,6,2016,5301.94,5086.5,5292.32
2016-06-01,Nordeste,9808.77,6,2016,10059.76,9447.67,9871.846666666666
2016-07-01,Nordeste,9553.56,7,2016,9808.77,9109.74,9807.363333333333
2016-07-01,Sul,10130.53,7,2016,10614.52,9805.12,10236.84
2016-07-01,Norte,5206.95,7,2016,5170.98,5020.2,5226.623333333333
2016-07-01,Sudeste/CO,33182.6,7,2016,33271.71,33015.55,33477.89666666667
2016-08-01,Nordeste,9669.98,8,2016,9553.56,9208.78,9677.436666666666
2016-08-01,Sul,10268.24,8,2016,10130.53,9947.7,10337.763333333334
2016-08-01,Norte,5479.0,8,2016,5206.95,5236.49,5285.643333333333
2016-08-01,Sudeste/CO,34310.11,8,2016,33182.6,33889.71,33588.14
2016-09-01,Sul,10086.56,9,2016,10268.24,9914.58,10161.776666666667
2016-09-01,Norte,5447.03,9,2016,5479.0,5547.03,5377.66
2016-09-01,Nordeste,9897.17,9,2016,9669.98,9579.98,9706.903333333334
2016-09-01,Sudeste/CO,34770.66,9,2016,34310.11,35495.77,34087.79
2016-10-01,Sudeste/CO,35149.63,10,2016,34770.66,36630.36,34743.46666666667
2016-10-01,Nordeste,10173.71,10,2016,9897.17,9895.76,9913.62
2016-10-01,Sul,10209.84,10,2016,10086.56,10153.16,10188.213333333333
2016-10-01,Norte,5461.13,10,2016,5447.03,5538.57,5462.386666666666
2016-11-01,Nordeste,10214.08,11,2016,10173.71,10172.93,10094.986666666666
2016-11-01,Norte,5581.77,11,2016,5461.13,5459.61,5496.643333333333
2016-11-01,Sul,10780.68,11,2016,10209.84,10150.43,10359.026666666667
2016-11-01,Sudeste/CO,34743.51,11,2016,35149.63,36322.05,34887.933333333334
2016-12-01,Sul,11188.53,12,2016,10780.68,10235.12,10726.35
2016-12-01,Norte,5234.09,12,2016,5581.77,5383.42,5425.663333333334
2016-12-01,Nordeste,10214.78,12,2016,10214.08,10087.1,10200.856666666667
2016-12-01,Sudeste/CO,35760.88,12,2016,34743.51,36608.28,35218.00666666666
2017-01-01,Norte,5077.38,1,2017,5234.09,5142.32,5297.746666666667
2017-01-01,Sul,11900.66,1,2017,11188.53,11258.15,11289.956666666667
2017-01-01,Nordeste,10502.29,1,2017,10214.78,9582.8,10310.383333333333
2017-01-01,Sudeste/CO,38977.42,1,2017,35760.88,36556.05,36493.93666666667
2017-02-01,Nordeste,10535.21,2,2017,10502.29,9926.13,10417.426666666666
2017-02-01,Sudeste/CO,40063.1,2,2017,38977.42,39524.44,38267.13333333333
2017-02-01,Sul,12529.68,2,2017,11900.66,11765.53,11872.956666666667
2017-02-01,Norte,5165.33,2,2017,5077.38,5239.37,5158.933333333333
2017-03-01,Sudeste/CO,39435.95,3,2017,40063.1,38455.0,39492.15666666666
2017-03-01,Sul,11668.03,3,2017,12529.68,10942.51,12032.79
2017-03-01,Nordeste,10768.35,3,2017,10535.21,10379.1,10601.949999999999
2017-03-01,Norte,5392.11,3,2017,5165.33,5293.72,5211.606666666667
2017-04-01,Norte,5287.42,4,2017,5392.11,5404.04,5281.62
2017-04-01,Sudeste/CO,35806.01,4,2017,39435.95,37695.7,38435.02
2017-04-01,Sul,10432.53,4,2017,11668.03,11066.53,11543.413333333332
2017-04-01,Nordeste,10364.33,4,2017,10768.35,9747.01,10555.963333333333
2017-05-01,Sudeste/CO,34414.14,5,2017,35806.01,33979.38,36552.03333333333
2017-05-01,Sul,10260.22,5,2017,10432.53,9965.47,10786.926666666666
2017-05-01,Norte,5590.2,5,2017,5287.42,5301.94,5423.243333333333
2017-05-01,Nordeste,10271.39,5,2017,10364.33,10059.76,10468.023333333333
2017-06-01,Nordeste,9900.8,6,2017,10271.39,9808.77,10178.84
2017-06-01,Norte,5474.74,6,2017,5590.2,5170.98,5450.786666666667
2017-06-01,Sul,10338.19,6,2017,10260.22,10614.52,10343.646666666667
2017-06-01,Sudeste/CO,33858.78,6,2017,34414.14,33271.71,34692.97666666666
2017-07-01,Nordeste,9408.81,7,2017,9900.8,9553.56,9860.333333333334
2017-07-01,Sudeste/CO,32552.04,7,2017,33858.78,33182.6,33608.32
2017-07-01,Sul,10483.78,7,2017,10338.19,10130.53,10360.730000000001
2017-07-01,Norte,5307.82,7,2017,5474.74,5206.95,5457.586666666666
2017-08-01,Nordeste,9772.25,8,2017,9408.81,9669.98,9693.953333333333
2017-08-01,Sudeste/CO,33822.72,8,2017,32552.04,34310.11,33411.18
2017-08-01,Sul,10610.79,8,2017,10483.78,10268.24,10477.586666666668
2017-08-01,Norte,5572.57,8,2017,5307.82,5479.0,5451.709999999999
2017-09-01,Nordeste,9701.75,9,2017,9772.25,9897.17,9627.603333333333
2017-09-01,Norte,5625.76,9,2017,5572.57,5447.03,5502.05
2017-09-01,Sul,10793.34,9,2017,10610.79,10086.56,10629.303333333333
2017-09-01,Sudeste/CO,35533.97,9,2017,33822.72,34770.66,33969.57666666667
2017-10-01,Sul,10469.67,10,2017,10793.34,10209.84,10624.6
2017-10-01,Nordeste,10229.79,10,2017,9701.75,10173.71,9901.263333333334
2017-10-01,Norte,5600.03,10,2017,5625.76,5461.13,5599.453333333334
2017-10-01,Sudeste/CO,36599.19,10,2017,35533.97,35149.63,35318.62666666667
2017-11-01,Sudeste/CO,35812.95,11,2017,36599.19,34743.51,35982.03666666667
2017-11-01,Sul,10811.51,11,2017,10469.67,10780.68,10691.506666666666
2017-11-01,Norte,5554.9,11,2017,5600.03,5581.77,5593.563333333334
2017-11-01,Nordeste,10371.39,11,2017,10229.79,10214.08,10100.976666666667
2017-12-01,Nordeste,10462.24,12,2017,10371.39,10214.78,10354.473333333333
2017-12-01,Sudeste/CO,36736.47,12,2017,35812.95,35760.88,36382.87
2017-12-01,Sul,11376.12,12,2017,10811.51,11188.53,10885.766666666668
2017-12-01,Norte,5383.59,12,2017,5554.9,5234.09,5512.839999999999
2018-01-01,Sul,11694.57,1,2018,11376.12,11900.66,11294.066666666668
2018-01-01,Nordeste,10540.96,1,2018,10462.24,10502.29,10458.196666666665
2018-01-01,Norte,5275.12,1,2018,5383.59,5077.38,5404.536666666667
2018-01-01,Sudeste/CO,39014.78,1,2018,36736.47,38977.42,37188.066666666666
2018-02-01,Norte,5383.37,2,2018,5275.12,5165.33,5347.36
2018-02-01,Nordeste,10360.76,2,2018,10540.96,10535.21,10454.653333333334
2018-02-01,Sudeste/CO,38538.91,2,2018,39014.78,40063.1,38096.72
2018-02-01,Sul,12090.04,2,2018,11694.57,12529.68,11720.243333333334
2018-03-01,Sul,11891.16,3,2018,12090.04,11668.03,11891.923333333332
2018-03-01,Nordeste,10573.49,3,2018,10360.76,10768.35,10491.736666666666
2018-03-01,Sudeste/CO,40027.98,3,2018,38538.91,39435.95,39193.89000000001
2018-03-01,Norte,5561.76,3,2018,5383.37,5392.11,5406.75
2018-04-01,Sul,11543.85,4,2018,11891.16,10432.53,11841.683333333334
2018-04-01,Norte,5318.74,4,2018,5561.76,5287.42,5421.29
2018-04-01,Nordeste,10367.04,4,2018,10573.49,10364.33,10433.763333333334
2018-04-01,Sudeste/CO,36675.95,4,2018,40027.98,35806.01,38414.28
2018-05-01,Sudeste/CO,34197.82,5,2018,36675.95,34414.14,36967.25
