ID;REGIAO;MÊS/ANO;CONSUMO_MEDIO
144;SUL;dez/02;6.650,01
145;NORDESTE;jan/03;6.152,37
146;NORTE;jan/03;2.611,26
147;SUDESTE/CO;jan/03;25.693,74
148;SUL;jan/03;7.029,96
149;NORDESTE;fev/03;5.958,60
150;NORTE;fev/03;2.682,51
151;SUDESTE/CO;fev/03;27.507,62
152;SUL;fev/03;7.360,90
153;NORDESTE;mar/03;5.833,34
154;NORTE;mar/03;2.712,74
155;SUDESTE/CO;mar/03;26.389,86
156;SUL;mar/03;7.080,43
157;NORDESTE;abr/03;5.987,99
158;NORTE;abr/03;2.774,45
159;SUDESTE/CO;abr/03;26.235,75
160;SUL;abr/03;6.804,05
161;NORDESTE;mai/03;5.919,62
162;NORTE;mai/03;2.846,97
163;SUDESTE/CO;mai/03;25.354,75
164;SUL;mai/03;6.597,39
165;NORDESTE;jun/03;5.734,50
166;NORTE;jun/03;2.862,79
167;SUDESTE/CO;jun/03;25.326,09
168;SUL;jun/03;6.572,20
169;NORDESTE;jul/03;5.783,53
170;NORTE;jul/03;2.745,87
171;SUDESTE/CO;jul/03;25.308,79
172;SUL;jul/03;6.656,90
173;NORDESTE;ago/03;5.922,73
174;NORTE;ago/03;2.610,08
175;SUDESTE/CO;ago/03;25.465,21
176;SUL;ago/03;6.566,82
177;NORDESTE;set/03;6.153,35
178;NORTE;set/03;2.666,07
179;SUDESTE/CO;set/03;26.242,63
180;SUL;set/03;6.773,09
181;NORDESTE;out/03;6.325,03
182;NORTE;out/03;2.683,48
183;SUDESTE/CO;out/03;26.829,76
184;SUL;out/03;6.876,26
185;NORDESTE;nov/03;6.312,73
186;NORTE;nov/03;2.872,80
187;SUDESTE/CO;nov/03;26.804,53
188;SUL;nov/03;6.945,77
189;NORDESTE;dez/03;6.388,42
190;NORTE;dez/03;2.829,30
191;SUDESTE/CO;dez/03;26.662,94
192;SUL;dez/03;6.831,29
193;NORDESTE;jan/04;5.975,14
194;NORTE;jan/04;2.866,97
195;SUDESTE/CO;jan/04;26.275,93
196;SUL;jan/04;7.205,92
197;NORDESTE;fev/04;5.939,70
198;NORTE;fev/04;2.846,26
199;SUDESTE/CO;fev/04;26.801,95
200;SUL;fev/04;7.395,33
201;NORDESTE;mar/04;6.199,62
202;NORTE;mar/04;2.922,58
203;SUDESTE/CO;mar/04;27.520,84
204;SUL;mar/04;7.639,80
205;NORDESTE;abr/04;6.209,77
206;NORTE;abr/04;2.924,74
207;SUDESTE/CO;abr/04;27.323,34
208;SUL;abr/04;7.421,00
209;NORDESTE;mai/04;6.168,84
210;NORTE;mai/04;2.988,83
211;SUDESTE/CO;mai/04;26.606,30
212;SUL;mai/04;6.961,25
213;NORDESTE;jun/04;6.000,00
214;NORTE;jun/04;2.997,60
215;SUDESTE/CO;jun/04;26.579,45
216;SUL;jun/04;7.053,38
217;NORDESTE;jul/04;6.037,20
218;NORTE;jul/04;2.991,48
219;SUDESTE/CO;jul/04;26.657,82
220;SUL;jul/04;7.071,70
221;NORDESTE;ago/04;6.221,52
222;NORTE;ago/04;3.014,82
223;SUDESTE/CO;ago/04;27.178,63
224;SUL;ago/04;7.112,19
225;NORDESTE;set/04;6.442,20
226;NORTE;set/04;3.042,84
227;SUDESTE/CO;set/04;28.426,39
228;SUL;set/04;7.229,75
229;NORDESTE;out/04;6.598,93
230;NORTE;out/04;3.033,29
231;SUDESTE/CO;out/04;27.771,50
232;SUL;out/04;7.058,35
233;NORDESTE;nov/04;6.695,90
234;NORTE;nov/04;3.022,35
235;SUDESTE/CO;nov/04;28.156,11
236;SUL;nov/04;7.241,64
237;NORDESTE;dez/04;6.734,78
238;NORTE;dez/04;3.022,02
239;SUDESTE/CO;dez/04;27.695,44
240;SUL;dez/04;7.451,37
241;NORDESTE;jan/05;6.701,02
242;NORTE;jan/05;2.982,25
243;SUDESTE/CO;jan/05;27.829,38
244;SUL;jan/05;7.812,91
245;NORDESTE;fev/05;6.666,22
246;NORTE;fev/05;2.991,05
247;SUDESTE/CO;fev/05;28.324,55
248;SUL;fev/05;8.037,17
249;NORDESTE;mar/05;6.774,05
250;NORTE;mar/05;3.041,24
251;SUDESTE/CO;mar/05;29.329,89
252;SUL;mar/05;8.175,21
253;NORDESTE;abr/05;6.731,56
254;NORTE;abr/05;3.043,10
255;SUDESTE/CO;abr/05;29.611,06
256;SUL;abr/05;7.701,99
257;NORDESTE;mai/05;6.551,29
258;NORTE;mai/05;3.112,13
259;SUDESTE/CO;mai/05;27.852,87
260;SUL;mai/05;7.313,98
261;NORDESTE;jun/05;6.391,43
262;NORTE;jun/05;3.126,66
263;SUDESTE/CO;jun/05;27.921,10
264;SUL;jun/05;7.396,15
265;NORDESTE;jul/05;6.409,13
266;NORTE;jul/05;3.026,75
267;SUDESTE/CO;jul/05;27.217,24
268;SUL;jul/05;7.124,24
269;NORDESTE;ago/05;6.571,49
270;NORTE;ago/05;3.134,21
271;SUDESTE/CO;ago/05;28.499,20
272;SUL;ago/05;7.288,75
273;NORDESTE;set/05;6.797,35
274;NORTE;set/05;3.169,68
275;SUDESTE/CO;set/05;28.242,87
276;SUL;set/05;7.199,53
277;NORDESTE;out/05;6.885,06
278;NORTE;out/05;3.160,95
279;SUDESTE/CO;out/05;28.991,80
280;SUL;out/05;7.321,90
281;NORDESTE;nov/05;6.968,13
282;NORTE;nov/05;3.207,02
283;SUDESTE/CO;nov/05;28.312,46
284;SUL;nov/05;7.615,23
