ID;REGIAO;MÊS/ANO;CONSUMO_MEDIO
715;SUDESTE/CO;nov/14;36.280,76
716;SUL;nov/14;10.751,63
717;NORDESTE;dez/14;9.665,72
718;NORTE;dez/14;5.068,56
719;SUDESTE/CO;dez/14;36.171,19
720;SUL;dez/14;10.716,20
721;NORDESTE;jan/15;10.042,26
722;NORTE;jan/15;4.992,72
723;SUDESTE/CO;jan/15;40.467,71
724;SUL;jan/15;11.607,68
725;NORDESTE;fev/15;10.003,65
726;NORTE;fev/15;5.002,30
727;SUDESTE/CO;fev/15;39.133,78
728;SUL;fev/15;11.707,08
729;NORDESTE;mar/15;10.058,70
730;NORTE;mar/15;5.091,45
731;SUDESTE/CO;mar/15;38.210,43
732;SUL;mar/15;11.622,86
733;NORDESTE;abr/15;10.070,90
734;NORTE;abr/15;5.163,63
735;SUDESTE/CO;abr/15;35.811,95
736;SUL;abr/15;10.478,21
737;NORDESTE;mai/15;9.804,35
738;NORTE;mai/15;5.120,86
739;SUDESTE/CO;mai/15;33.218,03
740;SUL;mai/15;9.837,77
741;NORDESTE;jun/15;9.447,67
742;NORTE;jun/15;5.086,50
743;SUDESTE/CO;jun/15;32.475,57
744;SUL;jun/15;9.769,19
745;NORDESTE;jul/15;9.109,74
746;NORTE;jul/15;5.020,20
747;SUDESTE/CO;jul/15;33.015,55
748;SUL;jul/15;9.805,12
749;NORDESTE;ago/15;9.208,78
750;NORTE;ago/15;5.236,49
751;SUDESTE/CO;ago/15;33.889,71
752;SUL;ago/15;9.947,70
753;NORDESTE;set/15;9.579,98
754;NORTE;set/15;5.547,03
755;SUDESTE/CO;set/15;35.495,77
756;SUL;set/15;9.914,58
757;NORDESTE;out/15;9.895,76
758;NORTE;out/15;5.538,57
759;SUDESTE/CO;out/15;36.630,36
760;SUL;out/15;10.153,16
761;NORDESTE;nov/15;10.172,93
762;NORTE;nov/15;5.459,61
763;SUDESTE/CO;nov/15;36.322,05
764;SUL;nov/15;10.150,43
765;NORDESTE;dez/15;10.087,10
766;NORTE;dez/15;5.383,42
767;SUDESTE/CO;dez/15;36.608,28
768;SUL;dez/15;10.235,12
769;NORDESTE;jan/16;9.582,80
770;NORTE;jan/16;5.142,32
771;SUDESTE/CO;jan/16;36.556,05
772;SUL;jan/16;11.258,15
773;NORDESTE;fev/16;9.926,13
774;NORTE;fev/16;5.239,37
775;SUDESTE/CO;fev/16;39.524,44
776;SUL;fev/16;11.765,53
777;NORDESTE;mar/16;10.379,10
778;NORTE;mar/16;5.293,72
779;SUDESTE/CO;mar/16;38.455,00
780;SUL;mar/16;10.942,51
781;NORDESTE;abr/16;9.747,01
782;NORTE;abr/16;5.404,04
783;SUDESTE/CO;abr/16;37.695,70
784;SUL;abr/16;11.066,53
785;NORDESTE;mai/16;10.059,76
786;NORTE;mai/16;5.301,94
787;SUDESTE/CO;mai/16;33.979,38
788;SUL;mai/16;9.965,47
789;NORDESTE;jun/16;9.808,77
790;NORTE;jun/16;5.170,98
791;SUDESTE/CO;jun/16;33.271,71
792;SUL;jun/16;10.614,52
793;NORDESTE;jul/16;9.553,56
794;NORTE;jul/16;5.206,95
795;SUDESTE/CO;jul/16;33.182,60
796;SUL;jul/16;10.130,53
797;NORDESTE;ago/16;9.669,98
798;NORTE;ago/16;5.479,00
799;SUDESTE/CO;ago/16;34.310,11
800;SUL;ago/16;10.268,24
801;NORDESTE;set/16;9.897,17
802;NORTE;set/16;5.447,03
803;SUDESTE/CO;set/16;34.770,66
804;SUL;set/16;10.086,56
805;NORDESTE;out/16;10.173,71
806;NORTE;out/16;5.461,13
807;SUDESTE/CO;out/16;35.149,63
808;SUL;out/16;10.209,84
809;NORDESTE;nov/16;10.214,08
810;NORTE;nov/16;5.581,77
811;SUDESTE/CO;nov/16;34.743,51
812;SUL;nov/16;10.780,68
813;NORDESTE;dez/16;10.214,78
814;NORTE;dez/16;5.234,09
815;SUDESTE/CO;dez/16;35.760,88
816;SUL;dez/16;11.188,53
817;NORDESTE;jan/17;10.502,29
818;NORTE;jan/17;5.077,38
819;SUDESTE/CO;jan/17;38.977,42
820;SUL;jan/17;11.900,66
821;NORDESTE;fev/17;10.535,21
822;NORTE;fev/17;5.165,33
823;SUDESTE/CO;fev/17;40.063,10
824;SUL;fev/17;12.529,68
825;NORDESTE;mar/17;10.768,35
826;NORTE;mar/17;5.392,11
827;SUDESTE/CO;mar/17;39.435,95
828;SUL;mar/17;11.668,03
829;NORDESTE;abr/17;10.364,33
830;NORTE;abr/17;5.287,42
831;SUDESTE/CO;abr/17;35.806,01
832;SUL;abr/17;10.432,53
833;NORDESTE;mai/17;10.271,39
834;NORTE;mai/17;5.590,20
835;SUDESTE/CO;mai/17;34.414,14
836;SUL;mai/17;10.260,22
837;NORDESTE;jun/17;9.900,80
838;NORTE;jun/17;5.474,74
839;SUDESTE/CO;jun/17;33.858,78
840;SUL;jun/17;10.338,19
841;NORDESTE;jul/17;9.408,81
842;NORTE;jul/17;5.307,82
843;SUDESTE/CO;jul/17;32.552,04
844;SUL;jul/17;10.483,78
845;NORDESTE;ago/17;9.772,25
846;NORTE;ago/17;5.572,57
847;SUDESTE/CO;ago/17;33.822,72
848;SUL;ago/17;10.610,79
849;NORDESTE;set/17;9.701,75
850;NORTE;set/17;5.625,76
851;SUDESTE/CO;set/17;35.533,97
852;SUL;set/17;10.793,34
853;NORDESTE;out/17;10.229,79
854;NORTE;out/17;5.600,03
855;SUDESTE/CO;out/17;36.599,19
856;SUL;out/17;10.469,67
857;NORDESTE;nov/17;10.371,39
858;NORTE;nov/17;5.554,90
859;SUDESTE/CO;nov/17;35.812,95
860;SUL;nov/17;10.811,51
861;NORDESTE;dez/17;10.462,24
862;NORTE;dez/17;5.383,59
863;SUDESTE/CO;dez/17;36.736,47
864;SUL;dez/17;11.376,12
865;NORDESTE;jan/18;10.540,96
866;NORTE;jan/18;5.275,12
867;SUDESTE/CO;jan/18;39.014,78
868;SUL;jan/18;11.694,57
869;NORDESTE;fev/18;10.360,76
870;NORTE;fev/18;5.383,37
871;SUDESTE/CO;fev/18;38.538,91
872;SUL;fev/18;12.090,04
873;NORDESTE;mar/18;10.573,49
874;NORTE;mar/18;5.561,76
875;SUDESTE/CO;mar/18;40.027,98
876;SUL;mar/18;11.891,16
877;NORDESTE;abr/18;10.367,04
878;NORTE;abr/18;5.318,74
879;SUDESTE/CO;abr/18;36.675,95
880;SUL;abr/18;11.543,85
881;NORDESTE;mai/18;10.193,69
882;NORTE;mai/18;5.184,07
883;SUDESTE/CO;mai/18;34.197,82
884;SUL;mai/18;10.430,37
885;NORDESTE;jun/18;9.852,02
886;NORTE;jun/18;5.221,35
887;SUDESTE/CO;jun/18;33.858,14
888;SUL;jun/18;10.608,30
889;NORDESTE;jul/18;9.830,90
890;NORTE;jul/18;5.115,06
891;SUDESTE/CO;jul/18;33.919,26
892;SUL;jul/18;10.742,02
893;NORDESTE;ago/18;9.976,72
894;NORTE;ago/18;5.278,88
895;SUDESTE/CO;ago/18;34.465,46
896;SUL;ago/18;10.694,29
897;NORDESTE;set/18;10.233,54
898;NORTE;set/18;5.402,49
899;SUDESTE/CO;set/18;35.488,20
900;SUL;set/18;10.456,40
901;NORDESTE;out/18;10.800,47
902;NORTE;out/18;5.431,14
903;SUDESTE/CO;out/18;36.868,93
904;SUL;out/18;10.755,89
905;NORDESTE;nov/18;10.785,05
906;NORTE;nov/18;5.293,62
907;SUDESTE/CO;nov/18;36.719,20
908;SUL;nov/18;11.306,87
909;NORDESTE;dez/18;10.447,94
910;NORTE;dez/18;5.137,02
911;SUDESTE/CO;dez/18;38.158,38
912;SUL;dez/18;11.532,72
913;NORDESTE;jan/19;10.930,89
914;NORTE;jan/19;5.298,13
915;SUDESTE/CO;jan/19;42.133,93
916;SUL;jan/19;12.833,96
917;NORDESTE;fev/19;11.239,43
918;NORTE;fev/19;5.503,67
919;SUDESTE/CO;fev/19;40.667,00
920;SUL;fev/19;12.392,63
921;NORDESTE;mar/19;10.848,00
922;NORTE;mar/19;5.416,77
923;SUDESTE/CO;mar/19;38.892,68
924;SUL;mar/19;11.542,73
925;NORDESTE;abr/19;10.927,68
926;NORTE;abr/19;5.364,51
927;SUDESTE/CO;abr/19;37.888,03
928;SUL;abr/19;11.319,71
929;NORDESTE;mai/19;10.826,00
930;NORTE;mai/19;5.514,03
931;SUDESTE/CO;mai/19;35.795,57
932;SUL;mai/19;10.705,12
933;NORDESTE;jun/19;9.922,86
934;NORTE;jun/19;5.448,67
935;SUDESTE/CO;jun/19;34.226,92
936;SUL;jun/19;10.502,50
937;NORDESTE;jul/19;9.820,86
938;NORTE;jul/19;5.374,95
939;SUDESTE/CO;jul/19;33.569,62
940;SUL;jul/19;10.699,20
941;NORDESTE;ago/19;9.774,33
942;NORTE;ago/19;5.541,23
943;SUDESTE/CO;ago/19;34.180,65
944;SUL;ago/19;10.807,31
945;NORDESTE;set/19;10.106,95
946;NORTE;set/19;5.662,78
947;SUDESTE/CO;set/19;36.699,72
948;SUL;set/19;10.731,14
949;NORDESTE;out/19;10.696,64
950;NORTE;out/19;5.596,46
951;SUDESTE/CO;out/19;37.918,25
952;SUL;out/19;11.370,05
953;NORDESTE;nov/19;11.085,56
954;NORTE;nov/19;5.703,99
955;SUDESTE/CO;nov/19;37.089,43
956;SUL;nov/19;11.552,51
957;NORDESTE;dez/19;11.129,12
958;NORTE;dez/19;5.580,74
959;SUDESTE/CO;dez/19;36.887,27
960;SUL;dez/19;11.626,44
961;NORDESTE;jan/20;10.952,56
962;NORTE;jan/20;5.412,00
963;SUDESTE/CO;jan/20;39.577,57
964;SUL;jan/20;12.599,13
965;NORDESTE;fev/20;10.995,71
966;NORTE;fev/20;5.513,53
967;SUDESTE/CO;fev/20;39.505,45
968;SUL;fev/20;12.781,99
969;NORDESTE;mar/20;10.597,10
970;NORTE;mar/20;5.347,47
971;SUDESTE/CO;mar/20;37.954,85
972;SUL;mar/20;12.310,29
973;NORDESTE;abr/20;9.592,04
974;NORTE;abr/20;4.921,12
975;SUDESTE/CO;abr/20;32.396,52
976;SUL;abr/20;10.265,75
977;NORDESTE;mai/20;9.470,41
978;NORTE;mai/20;5.111,48
979;SUDESTE/CO;mai/20;31.278,08
980;SUL;mai/20;10.095,40
981;NORDESTE;jun/20;9.441,39
982;NORTE;jun/20;5.286,12
983;SUDESTE/CO;jun/20;32.643,98
984;SUL;jun/20;10.185,78
985;NORDESTE;jul/20;9.612,53
986;NORTE;jul/20;5.387,09
987;SUDESTE/CO;jul/20;33.652,79
988;SUL;jul/20;10.414,71
989;NORDESTE;ago/20;9.809,27
990;NORTE;ago/20;5.753,43
991;SUDESTE/CO;ago/20;34.682,81
992;SUL;ago/20;10.424,31
993;NORDESTE;set/20;10.132,21
994;NORTE;set/20;5.918,47
995;SUDESTE/CO;set/20;38.260,49
996;SUL;set/20;11.012,74
997;NORDESTE;out/20;11.048,55
998;NORTE;out/20;5.961,54
999;SUDESTE/CO;out/20;38.984,22
1000;SUL;out/20;11.537,25
1001;NORDESTE;nov/20;10.790,93
1002;NORTE;nov/20;5.777,47
1003;SUDESTE/CO;nov/20;37.609,39
1004;SUL;nov/20;11.927,27
1005;NORDESTE;dez/20;11.165,52
1006;NORTE;dez/20;5.806,54
1007;SUDESTE/CO;dez/20;39.185,01
1008;SUL;dez/20;11.917,91
1009;NORDESTE;jan/21;11.104,46
1010;NORTE;jan/21;5.519,24
1011;SUDESTE/CO;jan/21;40.893,73
1012;SUL;jan/21;12.380,84
1013;NORDESTE;fev/21;11.218,18
1014;NORTE;fev/21;5.661,05
1015;SUDESTE/CO;fev/21;40.791,13
1016;SUL;fev/21;12.689,41
1017;NORDESTE;mar/21;11.499,67
1018;NORTE;mar/21;5.821,54
1019;SUDESTE/CO;mar/21;41.979,20
1020;SUL;mar/21;12.923,32
1021;NORDESTE;abr/21;11.163,71
1022;NORTE;abr/21;6.006,17
1023;SUDESTE/CO;abr/21;38.720,88
1024;SUL;abr/21;12.000,24
1025;NORDESTE;mai/21;10.767,94
1026;NORTE;mai/21;6.008,31
1027;SUDESTE/CO;mai/21;38.155,86
1028;SUL;mai/21;11.421,82
1029;NORDESTE;jun/21;10.967,23
1030;NORTE;jun/21;5.959,34
1031;SUDESTE/CO;jun/21;37.596,18
1032;SUL;jun/21;11.291,34
1033;NORDESTE;jul/21;11.038,13
1034;NORTE;jul/21;5.939,41
1035;SUDESTE/CO;jul/21;36.489,12
1036;SUL;jul/21;11.619,35
1037;NORDESTE;ago/21;11.276,10
1038;NORTE;ago/21;6.283,03
1039;SUDESTE/CO;ago/21;38.117,23
1040;SUL;ago/21;11.642,07
1041;NORDESTE;set/21;11.972,60
1042;NORTE;set/21;6.351,77
1043;SUDESTE/CO;set/21;40.340,28
1044;SUL;set/21;11.449,04
1045;NORDESTE;out/21;12.179,03
1046;NORTE;out/21;6.170,16
1047;SUDESTE/CO;out/21;37.630,33
1048;SUL;out/21;11.084,30
1049;NORDESTE;nov/21;11.923,98
1050;NORTE;nov/21;6.124,62
1051;SUDESTE/CO;nov/21;39.761,94
1052;SUL;nov/21;12.468,52
1053;NORDESTE;dez/21;11.664,32
1054;NORTE;dez/21;5.973,28
1055;SUDESTE/CO;dez/21;39.777,99
1056;SUL;dez/21;12.665,26
1057;NORDESTE;jan/22;11.272,55
1058;NORTE;jan/22;5.763,09
1059;SUDESTE/CO;jan/22;41.225,27
1060;SUL;jan/22;13.600,34
1061;NORDESTE;fev/22;11.754,37
1062;NORTE;fev/22;5.855,55
1063;SUDESTE/CO;fev/22;42.446,90
1064;SUL;fev/22;13.706,17
1065;NORDESTE;mar/22;11.567,36
1066;NORTE;mar/22;5.688,88
1067;SUDESTE/CO;mar/22;44.403,23
1068;SUL;mar/22;12.617,74
1069;NORDESTE;abr/22;11.332,98
1070;NORTE;abr/22;5.851,57
1071;SUDESTE/CO;abr/22;40.913,24
1072;SUL;abr/22;11.135,39
1073;NORDESTE;mai/22;11.080,76
1074;NORTE;mai/22;6.039,45
1075;SUDESTE/CO;mai/22;38.288,30
1076;SUL;mai/22;11.049,63
1077;NORDESTE;jun/22;10.408,51
1078;NORTE;jun/22;6.068,86
1079;SUDESTE/CO;jun/22;37.455,67
1080;SUL;jun/22;11.211,20
1081;NORDESTE;jul/22;10.488,69
1082;NORTE;jul/22;6.279,74
1083;SUDESTE/CO;jul/22;37.825,30
1084;SUL;jul/22;11.335,33
1085;NORDESTE;ago/22;10.808,89
1086;NORTE;ago/22;6.583,72
1087;SUDESTE/CO;ago/22;38.015,06
1088;SUL;ago/22;11.085,67
1089;NORDESTE;set/22;10.992,91
1090;NORTE;set/22;6.698,70
1091;SUDESTE/CO;set/22;38.464,87
1092;SUL;set/22;11.042,75
1093;NORDESTE;out/22;11.621,16
1094;NORTE;out/22;6.642,54
1095;SUDESTE/CO;out/22;39.624,20
1096;SUL;out/22;10.787,16
1097;NORDESTE;nov/22;11.456,45
1098;NORTE;nov/22;6.590,32
1099;SUDESTE/CO;nov/22;38.870,22
1100;SUL;nov/22;11.383,32
1101;NORDESTE;dez/22;11.308,88
1102;NORTE;dez/22;6.482,19
1103;SUDESTE/CO;dez/22;38.728,20
1104;SUL;dez/22;12.022,32
1105;NORDESTE;jan/23;11.510,28
1106;NORTE;jan/23;6.301,60
1107;SUDESTE/CO;jan/23;39.957,99
1108;SUL;jan/23;13.003,63
1109;NORDESTE;fev/23;11.813,24
1110;NORTE;fev/23;6.432,48
1111;SUDESTE/CO;fev/23;42.456,56
1112;SUL;fev/23;13.121,99
1113;NORDESTE;mar/23;11.487,94
1114;NORTE;mar/23;6.651,46
1115;SUDESTE/CO;mar/23;43.184,89
1116;SUL;mar/23;13.524,78
1117;NORDESTE;abr/23;11.321,74
1118;NORTE;abr/23;6.798,25
1119;SUDESTE/CO;abr/23;39.473,59
1120;SUL;abr/23;11.549,97
1121;NORDESTE;mai/23;11.956,66
1122;NORTE;mai/23;7.190,17
1123;SUDESTE/CO;mai/23;39.817,59
1124;SUL;mai/23;12.072,26
1125;NORDESTE;jun/23;11.653,24
1126;NORTE;jun/23;7.115,85
1127;SUDESTE/CO;jun/23;38.619,01
1128;SUL;jun/23;11.714,03
1129;NORDESTE;jul/23;11.600,14
1130;NORTE;jul/23;7.210,47
1131;SUDESTE/CO;jul/23;38.360,99
1132;SUL;jul/23;11.801,40
1133;NORDESTE;ago/23;11.989,97
1134;NORTE;ago/23;7.557,02
1135;SUDESTE/CO;ago/23;40.747,42
1136;SUL;ago/23;12.204,29
1137;NORDESTE;set/23;12.315,06
1138;NORTE;set/23;7.746,98
1139;SUDESTE/CO;set/23;43.415,48
1140;SUL;set/23;12.237,75
1141;NORDESTE;out/23;13.051,16
1142;NORTE;out/23;7.763,91
1143;SUDESTE/CO;out/23;44.093,90
1144;SUL;out/23;12.344,29
1145;NORDESTE;nov/23;13.514,74
1146;NORTE;nov/23;7.618,25
1147;SUDESTE/CO;nov/23;46.313,89
1148;SUL;nov/23;13.212,25
1149;NORDESTE;dez/23;13.170,85
1150;NORTE;dez/23;7.249,95
1151;SUDESTE/CO;dez/23;46.195,92
1152;SUL;dez/23;14.019,74
1153;NORDESTE;jan/24;13.173,18
1154;NORTE;jan/24;7.282,62
1155;SUDESTE/CO;jan/24;45.239,25
1156;SUL;jan/24;14.048,42
1157;NORDESTE;fev/24;13.191,39
1158;NORTE;fev/24;7.311,07
1159;SUDESTE/CO;fev/24;46.597,78
1160;SUL;fev/24;15.666,30
1161;NORDESTE;mar/24;13.409,23
1162;NORTE;mar/24;7.383,89
1163;SUDESTE/CO;mar/24;47.170,80
1164;SUL;mar/24;14.535,69
1165;NORDESTE;abr/24;13.074,20
1166;NORTE;abr/24;7.441,54
1167;SUDESTE/CO;abr/24;45.701,52
1168;SUL;abr/24;13.518,56
1169;NORDESTE;mai/24;12.821,14
1170;NORTE;mai/24;7.703,42
1171;SUDESTE/CO;mai/24;44.316,93
1172;SUL;mai/24;12.542,55
1173;NORDESTE;jun/24;12.193,81
1174;NORTE;jun/24;7.721,25
1175;SUDESTE/CO;jun/24;41.439,09
1176;SUL;jun/24;12.601,21
1177;NORDESTE;jul/24;12.296,83
1178;NORTE;jul/24;7.813,43
1179;SUDESTE/CO;jul/24;41.012,29
1180;SUL;jul/24;12.955,00
1181;NORDESTE;ago/24;12.832,09
1182;NORTE;ago/24;8.105,58
1183;SUDESTE/CO;ago/24;42.059,60
1184;SUL;ago/24;13.015,82
1185;NORDESTE;set/24;13.109,96
1186;NORTE;set/24;8.498,04
1187;SUDESTE/CO;set/24;45.974,78
1188;SUL;set/24;12.846,21
1189;NORDESTE;out/24;13.749,61
1190;NORTE;out/24;8.375,46
1191;SUDESTE/CO;out/24;45.186,27
1192;SUL;out/24;13.452,27
1193;NORDESTE;nov/24;13.833,60
1194;NORTE;nov/24;8.294,47
1195;SUDESTE/CO;nov/24;44.152,97
1196;SUL;nov/24;14.324,71
1197;NORDESTE;dez/24;13.769,79
1198;NORTE;dez/24;7.895,49
1199;SUDESTE/CO;dez/24;44.722,32
1200;SUL;dez/24;13.162,19
1201;NORDESTE;jan/25;13.413,74
1202;NORTE;jan/25;7.636,91
1203;SUDESTE/CO;jan/25;46.753,53
1204;SUL;jan/25;15.296,75
1205;NORDESTE;fev/25;13.739,95
1206;NORTE;fev/25;7.705,45
1207;SUDESTE/CO;fev/25;51.048,59
1208;SUL;fev/25;16.712,78
1209;NORDESTE;mar/25;13.790,46
1210;NORTE;mar/25;7.945,51
1211;SUDESTE/CO;mar/25;48.550,61
1212;SUL;mar/25;15.662,13
1213;NORDESTE;abr/25;13.829,25
1214;NORTE;abr/25;8.099,94
1215;SUDESTE/CO;abr/25;44.250,03
1216;SUL;abr/25;13.190,36
1217;NORDESTE;mai/25;13.322,29
1218;NORTE;mai/25;8.147,80
1219;SUDESTE/CO;mai/25;41.856,36
1220;SUL;mai/25;12.914,78
1221;NORDESTE;jun/25;13.131,79
1222;NORTE;jun/25;8.219,81
1223;SUDESTE/CO;jun/25;42.065,74
1224;SUL;jun/25;12.988,40
